episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
120,-151.8054,-50.6018,0.1173,178.0950,1.0037,0.5222,0.5222,0.4000
390,102.2048,34.0683,0.7333,35.8910,1.0000,0.6082,0.0000,0.8444
121,-140.7288,-46.9096,0.1271,192.6415,1.0074,0.5144,0.5889,0.4167
391,84.2862,28.0954,0.7333,33.1954,1.0000,0.6487,0.0000,0.7278
122,-13.4765,-4.4922,0.1907,166.6972,1.0037,0.5514,0.4944,0.4333
392,68.2297,22.7432,0.7333,33.4794,1.0000,0.6450,0.0000,0.7167
123,-89.9824,-29.9941,0.1174,176.3559,1.0111,0.5253,0.5167,0.4278
393,20.0084,6.6695,0.7333,36.4549,1.0000,0.5935,0.0000,0.8667
124,-173.7406,-57.9135,0.1210,169.1057,1.0148,0.5319,0.4889,0.4333
394,45.4670,15.1557,0.6667,56.4700,1.0444,0.5251,0.0667,0.6500
125,-40.2984,-13.4328,0.2273,154.0032,1.0148,0.5651,0.4556,0.4611
395,23.4320,7.8107,0.7333,36.8449,1.0000,0.5868,0.0000,0.7278
126,-84.0285,-28.0095,0.1291,167.1602,1.0185,0.5480,0.4833,0.4389
396,47.3072,15.7691,0.7333,42.7595,1.0000,0.4858,0.0000,0.8278
127,-1.4572,-0.4857,0.2234,155.9361,1.0111,0.5597,0.4611,0.4444
397,69.2038,23.0679,0.7333,38.9972,1.0000,0.5442,0.0000,0.8444
128,216.7781,72.2594,0.2053,96.1901,1.0630,0.6172,0.1944,0.6389
398,30.0464,10.0155,0.7333,32.2718,1.0000,0.6738,0.0000,0.6722
129,177.1578,59.0526,0.1797,112.2094,1.0259,0.6081,0.2611,0.6056
399,-50.3400,-16.7800,0.7333,37.3459,1.0000,0.5804,0.0000,0.7556
130,305.6323,101.8774,0.2206,55.9229,1.0296,0.6511,0.0444,0.5778
400,-23.1154,-7.7051,0.6056,77.3496,1.0852,0.4350,0.1278,0.5889
131,89.3652,29.7884,0.1582,148.8888,1.0778,0.5704,0.4000,0.5556
401,49.0489,16.3496,0.7333,41.3704,1.0000,0.5087,0.0000,0.7833
132,176.4695,58.8232,0.1874,115.8472,1.1074,0.5887,0.2833,0.6056
402,52.7773,17.5924,0.7333,41.6395,1.0000,0.5015,0.0000,0.8278
133,225.0196,75.0065,0.2259,111.4312,1.1444,0.6084,0.2722,0.6722
403,81.4657,27.1552,0.7333,37.1518,1.0000,0.5863,0.0000,0.7722
134,-106.3073,-35.4358,0.1055,185.2326,1.0148,0.5245,0.5500,0.4000
404,74.2433,24.7478,0.7333,40.8565,1.0000,0.5234,0.0000,0.8833
135,242.5638,80.8546,0.2245,89.4813,1.1222,0.6193,0.1833,0.6667
405,83.2497,27.7499,0.7333,38.2227,1.0000,0.5628,0.0000,0.8389
406,79.7384,26.5795,0.7333,38.6841,1.0000,0.5538,0.0000,0.8278
136,199.9315,66.6438,0.2124,111.4824,1.0889,0.6160,0.2667,0.6611
407,-30.5096,-10.1699,0.6944,47.9480,1.0259,0.5612,0.0389,0.6278
137,376.4446,125.4815,0.2906,38.3574,1.0000,0.6825,0.0000,0.6667
408,22.8981,7.6327,0.7333,40.1274,1.0000,0.5309,0.0000,0.7944
