episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
95,-4462.6800,-446.2680,0.1193,234.1737,1.1337,0.2868,0.7552,0.1683
179,-4503.5820,-450.3582,0.1215,230.2282,1.1102,0.2901,0.7389,0.1517
70,-8093.9507,-809.3951,0.0812,248.9036,1.1727,0.2652,0.8059,0.1467
145,-4662.3133,-466.2313,0.1125,234.2694,1.1517,0.2836,0.7533,0.1533
96,-4554.2585,-455.4259,0.1391,224.6569,1.1762,0.3027,0.7207,0.1550
180,-5069.4563,-506.9456,0.1121,234.9487,1.1884,0.2846,0.7559,0.1533
71,-9577.0417,-957.7042,0.0881,244.8145,1.1039,0.2696,0.7904,0.1500
146,-6222.9515,-622.2952,0.1383,225.2867,1.1338,0.3000,0.7230,0.1600
97,-5071.4685,-507.1468,0.1373,224.1585,1.1350,0.2977,0.7178,0.1567
181,-6697.6985,-669.7699,0.1467,217.8696,1.1600,0.3073,0.6937,0.1600
72,-7621.4781,-762.1478,0.0968,245.6044,1.0641,0.2645,0.7967,0.1400
147,-5598.2555,-559.8256,0.0755,255.2355,1.2088,0.2569,0.8311,0.1500
98,-5603.3560,-560.3356,0.1077,237.3117,1.1043,0.2751,0.7644,0.1500
182,-5503.8185,-550.3818,0.1523,219.4770,1.0861,0.3053,0.7026,0.1583
73,-6638.4359,-663.8436,0.0831,252.4559,1.1296,0.2612,0.8219,0.1483
148,-4878.0130,-487.8013,0.1191,233.3130,1.0853,0.2853,0.7515,0.1583
99,-5249.9300,-524.9930,0.1254,233.5526,1.0793,0.2847,0.7548,0.1600
183,-6838.0660,-683.8066,0.0563,263.2597,1.1768,0.2482,0.8596,0.1450
149,-6005.7970,-600.5797,0.0859,246.2169,1.1163,0.2680,0.7959,0.1567
74,-8586.4632,-858.6463,0.0782,249.2947,1.1656,0.2648,0.8063,0.1467
100,-4904.7011,-490.4701,0.1021,239.3061,1.2325,0.2805,0.7715,0.1600
184,-4972.5366,-497.2537,0.1634,215.4411,1.1102,0.3107,0.6889,0.1550
150,-5033.2053,-503.3205,0.0910,248.1720,1.2715,0.2655,0.8059,0.1617
75,-5519.0051,-551.9005,0.0862,245.4899,1.5400,0.2717,0.7926,0.1600
101,-4533.4897,-453.3490,0.1129,233.4395,1.1126,0.2863,0.7500,0.1583
185,-7376.9948,-737.6995,0.0876,247.0774,1.0861,0.2637,0.8000,0.1433
151,-3880.5896,-388.0590,0.1427,221.0692,1.1041,0.3082,0.7063,0.1767
102,-3817.1152,-381.7115,0.1071,242.3231,1.0925,0.2727,0.7863,0.1533
76,-4950.5437,-495.0544,0.0962,247.9963,1.1191,0.2648,0.8070,0.1483
186,-5286.3560,-528.6356,0.0889,247.3669,1.1754,0.2662,0.8019,0.1483
152,-7413.6454,-741.3645,0.0833,251.7756,1.0989,0.2614,0.8193,0.1500
103,-8987.4505,-898.7451,0.1149,237.3089,1.1955,0.2769,0.7670,0.1533
77,-9354.9111,-935.4911,0.0871,244.7567,1.3217,0.2716,0.7896,0.1533
187,-4630.7200,-463.0720,0.0896,248.0678,1.0885,0.2638,0.8052,0.1483
153,-6621.6756,-662.1676,0.0839,252.5107,1.0688,0.2630,0.8226,0.1633
104,-5097.9784,-509.7978,0.0829,249.8072,1.3415,0.2614,0.8104,0.1467
188,-5900.2600,-590.0260,0.1038,243.0187,1.1661,0.2729,0.7881,0.1533
78,-10045.0873,-1004.5087,0.0904,244.1369,1.1573,0.2713,0.7885,0.1583
154,-6194.4268,-619.4427,0.0681,255.3142,1.2102,0.2591,0.8293,0.1483
105,-6772.4053,-677.2405,0.1090,235.2280,1.1204,0.2815,0.7563,0.1583
189,-6446.2065,-644.6206,0.1188,234.0877,1.2457,0.2848,0.7544,0.1633
79,-6400.1074,-640.0107,0.0847,249.0469,1.3193,0.2671,0.8078,0.1550
155,-7292.5166,-729.2517,0.0577,261.6633,1.1415,0.2517,0.8533,0.1533
106,-5462.8315,-546.2831,0.0834,249.5627,1.1350,0.2628,0.8096,0.1450
190,-6712.8208,-671.2821,0.1403,216.9701,1.1295,0.3073,0.6874,0.1583
